Beta_Window,Momentum_Window,Volatility_Window,Sharpe_Window,Selected_Assets,Validation_Return,Validation_Volatility,Validation_Sharpe,Parameter_Distance,Selected_Assets_Tuple
80,80,30,80,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,70,"('AAPL', 'GOOG', 'META')"
80,80,10,80,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,70,"('AAPL', 'GOOG', 'META')"
40,80,30,40,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,70,"('AAPL', 'GOOG', 'META')"
40,80,10,40,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,70,"('AAPL', 'GOOG', 'META')"
60,80,30,40,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,50,"('AAPL', 'GOOG', 'META')"
60,80,10,40,"['GOOG', 'AAPL', 'META']",0.08849513452786395,0.2713480895079497,2.2060813784461244,50,"('AAPL', 'GOOG', 'META')"
60,80,10,80,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,50,"('AAPL', 'GOOG', 'META')"
60,80,20,40,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,40,"('AAPL', 'GOOG', 'META')"
60,80,10,60,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,30,"('AAPL', 'GOOG', 'META')"
60,80,20,60,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,20,"('AAPL', 'GOOG', 'META')"
60,80,20,80,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,40,"('AAPL', 'GOOG', 'META')"
80,40,30,40,"['AAPL', 'META', 'GOOG']",0.08849513452786373,0.2713480895079497,2.206081378446124,70,"('AAPL', 'GOOG', 'META')"
60,80,30,60,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,30,"('AAPL', 'GOOG', 'META')"
60,80,30,80,"['GOOG', 'META', 'AAPL']",0.08849513452786395,0.2713480895079497,2.206081378446124,50,"('AAPL', 'GOOG', 'META')"
80,40,10,40,"['AAPL', 'META', 'GOOG']",0.08849513452786373,0.2713480895079497,2.206081378446124,70,"('AAPL', 'GOOG', 'META')"
